,state_name,SD,LD,NESC,PC,GS,CPV,start_date,cases_y,infection_rate,deaths_y,death_rate
0,California,0,0,0,0,0,0,1/26/20,1.025641026,0.126244374,0,0
1,California,1,0,0,0,0,0,3/5/20,17.16666667,0.244940045,0.333333333,0.003505318
2,California,1,0,0,0,1,0,3/11/20,38,0.263888889,0,0
3,California,1,0,0,0,3,0,3/12/20,46,0.252747253,1,0.005494505
4,California,1,0,0,1,4,0,3/13/20,63,0.247434777,0.5,0.001845018
5,California,1,0,0,1,5,0,3/15/20,93,0.262711864,2,0.005649718
6,California,1,0,1,1,5,2,3/16/20,113,0.207301337,1,0.001845256
7,California,1,0,1,1,7,2,3/19/20,322.875,0.20045662,7.375,0.004386134
8,Colorado,0,0,0,0,0,0,3/6/20,0.8,0.266666667,0,0
9,Colorado,0,0,0,1,0,0,3/11/20,5.5,0.694444444,0,0
10,Colorado,0,0,0,1,0,2,3/13/20,8.857142857,0.254688099,0,0
11,Colorado,0,0,1,1,0,2,3/20/20,33.28571429,0.217179082,0.428571429,0.002435065
12,District of Columbia,0,0,0,0,0,0,3/7/20,1.5,1.5,0,0
13,District of Columbia,0,0,0,1,0,0,3/9/20,3,0.75,0,0
14,District of Columbia,0,0,0,1,3,0,3/11/20,2.4,0.191323529,0,0
15,District of Columbia,0,0,0,1,5,0,3/16/20,9,0.409090909,0,0
16,District of Columbia,0,0,1,1,5,0,3/17/20,27.3,0.271139104,0.4,0.003411976
17,Florida,0,0,0,0,0,0,3/11/20,3.5,2,0,0
18,Florida,0,0,0,1,0,0,3/13/20,5,0.46474359,0,0
19,Florida,1,0,0,1,0,2,3/16/20,27,0.830131446,0,0
20,Florida,1,0,0,1,7,2,3/18/20,24,0.311688312,0,0
21,Florida,1,0,1,1,7,2,3/19/20,96,0.30979427,0.25,0.000382848
22,Georgia,0,0,0,0,0,0,3/2/20,0.363636364,0.131818182,0,0
23,Georgia,1,0,0,1,0,0,3/13/20,7,0.685042735,0,0
24,Georgia,1,0,0,1,5,2,3/16/20,29.09090909,0.271185891,1.090909091,0.008413966
25,Illinois,0,0,0,0,0,0,1/24/20,1.653846154,0.105553555,0,0
26,Illinois,0,0,0,1,0,2,3/16/20,77.5,0.668883415,0.5,0.005747126
27,Illinois,1,0,0,1,7,2,3/18/20,145.6666667,0.413432228,1,0.002918107
28,Illinois,1,0,1,1,7,2,3/21/20,331.5,0.25925509,4,0.002887113
29,Kansas,0,0,0,0,0,0,3/7/20,0.777777778,0.42037037,0,0
30,Kansas,0,0,0,1,5,2,3/16/20,3.5,0.216758658,0.125,0.005208333
31,Kansas,1,0,0,1,5,2,3/24/20,10,0.226343514,0,0
32,Massachusetts,0,0,0,0,0,0,2/1/20,2.102564103,0.167972199,0,0
33,Massachusetts,0,0,0,0,0,2,3/11/20,12,0.144578313,0,0
34,Massachusetts,0,0,0,0,6,2,3/12/20,,,,
35,Massachusetts,1,0,0,0,0,0,3/3/20,11.25,0.507163713,0,0
36,Massachusetts,1,0,1,1,6,0,3/15/20,18.5,0.127963912,0,0
37,Massachusetts,1,0,1,1,6,2,3/17/20,153.5,0.262221676,1.5,0.002282878
38,Michigan,0,0,0,0,0,0,3/10/20,1.666666667,1.666666667,0,0
39,Michigan,0,0,0,1,0,2,3/13/20,2.333333333,0.319444444,0,0
40,Michigan,0,0,1,1,0,2,3/16/20,4,0.307692308,0,0
41,Michigan,1,0,1,1,0,2,3/17/20,179.3,0.785663499,3.7,0.018894081
42,Nevada,0,0,0,0,0,0,3/5/20,1.5,0.41,0,0
43,Nevada,0,0,0,0,0,2,3/15/20,19,1.1875,1,0.0625
44,Nevada,0,0,0,1,3,2,3/16/20,18.2,0.323604723,0.2,0.002702703
45,Nevada,0,0,1,1,3,2,3/21/20,52.83333333,0.253126016,1.333333333,0.007530384
46,New Jersey,0,0,0,0,0,0,3/4/20,1.166666667,0.444444444,0.166666667,0.027777778
47,New Jersey,1,0,0,0,0,0,3/10/20,4,0.5,0,0
48,New Jersey,1,0,0,1,0,0,3/11/20,4,0.297619048,0,0
49,New Jersey,1,0,1,1,3,2,3/13/20,20,0.623809524,0.333333333,0.007936508
50,New Jersey,1,0,1,1,5,2,3/16/20,183.5454545,0.368536068,2.727272727,0.005641303
51,New York,0,0,0,0,0,0,3/1/20,26.36363636,0.896256513,0,0
52,New York,0,0,0,0,2,0,3/12/20,129.25,0.294295865,2,0.003988986
53,New York,0,0,0,1,5,2,3/16/20,1386.5,0.680003542,10.5,0.005893557
54,New York,1,0,1,1,5,2,3/20/20,4620.857143,0.299844836,63.57142857,0.003440487
55,Texas,0,0,0,0,0,0,3/10/20,3,1.083333333,0,0
56,Texas,0,0,0,0,2,0,3/12/20,1,0.125,0,0
57,Texas,0,0,0,0,2,2,3/13/20,1.666666667,0.164983165,0,0
58,Texas,0,0,0,0,7,2,3/16/20,14,0.589392279,0.333333333,0.009803922
59,Texas,1,0,1,1,7,2,3/19/20,38.875,0.283280638,0.75,0.00515357
60,Washington,0,0,0,0,0,0,1/21/20,0.414634146,0.111006879,0.146341463,0.02188868
61,Washington,0,0,0,1,0,0,3/2/20,17,0.567148449,1.666666667,0.086419753
62,Washington,1,0,0,1,0,0,3/5/20,39.16666667,0.28701383,2.833333333,0.023776327
63,Washington,1,0,0,1,3,0,3/11/20,76.8,0.178568054,3.8,0.008670776
64,Washington,1,0,1,1,5,2,3/16/20,186.8,0.13466062,9.36363636,0.006928467
