,State,Date,Confirmed,Deaths,Recovered,Confirmed_new,Deaths_new,Recovered_new,Confirmed_Incremental_Rate,Deaths_Incremental_Rate,Recovered_Incremental_Rate
0,Alabama,2020/3/13,5,0,0,,,,,,
1,Alabama,2020/3/14,6,0,0,1,0,0,0.2,,
2,Alabama,2020/3/15,12,0,0,6,0,0,1,,
3,Alabama,2020/3/16,29,0,0,17,0,0,1.416666667,,
4,Alabama,2020/3/17,39,0,0,10,0,0,0.344827586,,
5,Alabama,2020/3/18,46,0,0,7,0,0,0.179487179,,
6,Alabama,2020/3/19,78,0,0,32,0,0,0.695652174,,
7,Alabama,2020/3/20,83,0,0,5,0,0,0.064102564,,
8,Alabama,2020/3/21,131,0,0,48,0,0,0.578313253,,
9,Alabama,2020/3/22,123,0,0,-8,0,0,-0.061068702,,
10,Alabama,2020/3/23,173,0,0,50,0,0,0.406504065,,
11,Alabama,2020/3/24,213,0,0,40,0,0,0.231213873,,
12,Alabama,2020/3/25,316,1,0,103,1,0,0.483568075,inf,
13,Alabama,2020/3/26,419,1,0,103,0,0,0.325949367,0,
14,Alabama,2020/3/27,512,4,0,93,3,0,0.221957041,3,
15,Alabama,2020/3/28,617,4,0,105,0,0,0.205078125,0,
16,Alabama,2020/3/29,727,10,0,110,6,0,0.17828201,1.5,
17,Alabama,2020/3/30,788,10,0,61,0,0,0.083906465,0,
18,Alabama,2020/4/1,979,27,0,191,17,0,0.242385787,1.7,
19,Alabama,2020/4/2,1084,31,0,105,4,0,0.107252298,0.148148148,
20,Alabama,2020/4/3,1372,37,0,288,6,0,0.265682657,0.193548387,
21,Alabama,2020/4/4,1494,44,0,122,7,0,0.088921283,0.189189189,
22,Alabama,2020/4/5,1573,43,0,79,-1,0,0.052878179,-0.022727273,
23,Alabama,2020/4/6,1772,49,0,199,6,0,0.126509854,0.139534884,
24,Alabama,2020/4/7,1980,63,0,208,14,0,0.11738149,0.285714286,
25,Alabama,2020/4/8,2161,65,0,181,2,0,0.091414141,0.031746032,
26,Alabama,2020/4/9,2501,69,0,340,4,0,0.157334567,0.061538462,
27,Alabama,2020/4/10,2756,80,0,255,11,0,0.101959216,0.15942029,
28,Alabama,2020/4/11,3028,91,0,272,11,0,0.098693759,0.1375,
29,Alabama,2020/4/12,3412,93,0,384,2,0,0.12681638,0.021978022,
30,Alabama,2020/4/13,3547,99,0,135,6,0,0.039566237,0.064516129,
0,Alaska,2020/3/10,0,0,0,,,,,,
1,Alaska,2020/3/11,0,0,0,0,0,0,,,
2,Alaska,2020/3/12,0,0,0,0,0,0,,,
3,Alaska,2020/3/13,1,0,0,1,0,0,inf,,
4,Alaska,2020/3/15,1,0,0,0,0,0,0,,
5,Alaska,2020/3/16,1,0,0,0,0,0,0,,
6,Alaska,2020/3/17,3,0,0,2,0,0,2,,
7,Alaska,2020/3/18,6,0,0,3,0,0,1,,
8,Alaska,2020/3/19,9,0,0,3,0,0,0.5,,
9,Alaska,2020/3/20,12,0,0,3,0,0,0.333333333,,
10,Alaska,2020/3/21,15,0,0,3,0,0,0.25,,
11,Alaska,2020/3/22,19,0,0,4,0,0,0.266666667,,
12,Alaska,2020/3/23,30,0,0,11,0,0,0.578947368,,
13,Alaska,2020/3/24,34,0,0,4,0,0,0.133333333,,
14,Alaska,2020/3/25,41,1,0,7,1,0,0.205882353,inf,
15,Alaska,2020/3/26,45,1,0,4,0,0,0.097560976,0,
16,Alaska,2020/3/27,58,1,0,13,0,0,0.288888889,0,
17,Alaska,2020/3/28,85,2,0,27,1,0,0.465517241,1,
18,Alaska,2020/3/29,102,2,0,17,0,0,0.2,0,
19,Alaska,2020/3/30,114,3,0,12,1,0,0.117647059,0.5,
20,Alaska,2020/4/1,132,3,0,18,0,0,0.157894737,0,
21,Alaska,2020/4/2,143,3,0,11,0,0,0.083333333,0,
22,Alaska,2020/4/3,155,3,0,12,0,0,0.083916084,0,
23,Alaska,2020/4/4,169,5,0,14,2,0,0.090322581,0.666666667,
24,Alaska,2020/4/5,169,6,0,0,1,0,0,0.2,
25,Alaska,2020/4/6,175,6,0,6,0,0,0.035502959,0,
26,Alaska,2020/4/7,197,6,0,22,0,0,0.125714286,0,
27,Alaska,2020/4/8,210,7,0,13,1,0,0.065989848,0.166666667,
28,Alaska,2020/4/9,205,7,0,-5,0,0,-0.023809524,0,
29,Alaska,2020/4/10,229,7,0,24,0,0,0.117073171,0,
30,Alaska,2020/4/11,239,8,0,10,1,0,0.043668122,0.142857143,
31,Alaska,2020/4/12,254,8,0,15,0,0,0.062761506,0,
32,Alaska,2020/4/13,259,8,0,5,0,0,0.019685039,0,
0,Arizona,2020/1/26,1,0,0,,,,,,
1,Arizona,2020/1/27,1,0,0,0,0,0,0,,
2,Arizona,2020/1/28,1,0,0,0,0,0,0,,
3,Arizona,2020/1/29,1,0,0,0,0,0,0,,
4,Arizona,2020/1/30,1,0,0,0,0,0,0,,
5,Arizona,2020/2/1,1,0,0,0,0,0,0,,
6,Arizona,2020/2/2,1,0,0,0,0,0,0,,
7,Arizona,2020/2/3,1,0,0,0,0,0,0,,
8,Arizona,2020/2/4,1,0,0,0,0,0,0,,
9,Arizona,2020/2/5,1,0,0,0,0,0,0,,
10,Arizona,2020/2/6,1,0,0,0,0,0,0,,
11,Arizona,2020/2/7,1,0,0,0,0,0,0,,
12,Arizona,2020/2/8,1,0,0,0,0,0,0,,
13,Arizona,2020/2/9,1,0,0,0,0,0,0,,
14,Arizona,2020/2/10,1,0,0,0,0,0,0,,
15,Arizona,2020/2/11,1,0,0,0,0,0,0,,
16,Arizona,2020/2/12,1,0,0,0,0,0,0,,
17,Arizona,2020/2/13,1,0,0,0,0,0,0,,
18,Arizona,2020/2/14,1,0,0,0,0,0,0,,
19,Arizona,2020/2/15,1,0,0,0,0,0,0,,
20,Arizona,2020/2/16,1,0,0,0,0,0,0,,
21,Arizona,2020/2/17,1,0,0,0,0,0,0,,
22,Arizona,2020/2/18,1,0,0,0,0,0,0,,
23,Arizona,2020/2/19,1,0,0,0,0,0,0,,
24,Arizona,2020/2/20,1,0,0,0,0,0,0,,
25,Arizona,2020/2/21,1,0,0,0,0,0,0,,
26,Arizona,2020/2/22,1,0,0,0,0,0,0,,
27,Arizona,2020/2/23,1,0,0,0,0,0,0,,
28,Arizona,2020/2/24,1,0,0,0,0,0,0,,
29,Arizona,2020/2/25,1,0,1,0,0,1,0,,inf
30,Arizona,2020/2/26,1,0,1,0,0,0,0,,0
31,Arizona,2020/2/27,1,0,1,0,0,0,0,,0
32,Arizona,2020/2/28,1,0,1,0,0,0,0,,0
33,Arizona,2020/2/29,1,0,1,0,0,0,0,,0
34,Arizona,2020/3/1,1,0,1,0,0,0,0,,0
35,Arizona,2020/3/2,1,0,1,0,0,0,0,,0
36,Arizona,2020/3/3,2,0,1,1,0,0,1,,0
37,Arizona,2020/3/4,2,0,1,0,0,0,0,,0
38,Arizona,2020/3/5,2,0,1,0,0,0,0,,0
39,Arizona,2020/3/6,3,0,1,1,0,0,0.5,,0
40,Arizona,2020/3/7,5,0,1,2,0,0,0.666666667,,0
41,Arizona,2020/3/8,5,0,1,0,0,0,0,,0
42,Arizona,2020/3/9,5,0,1,0,0,0,0,,0
43,Arizona,2020/3/10,6,0,1,1,0,0,0.2,,0
44,Arizona,2020/3/11,9,0,1,3,0,0,0.5,,0
45,Arizona,2020/3/12,9,0,1,0,0,0,0,,0
46,Arizona,2020/3/13,9,0,1,0,0,0,0,,0
47,Arizona,2020/3/14,12,0,1,3,0,0,0.333333333,,0
48,Arizona,2020/3/15,13,0,1,1,0,0,0.083333333,,0
49,Arizona,2020/3/16,18,0,1,5,0,0,0.384615385,,0
50,Arizona,2020/3/17,20,0,1,2,0,0,0.111111111,,0
51,Arizona,2020/3/18,27,0,0,7,0,-1,0.35,,-1
52,Arizona,2020/3/19,45,0,0,18,0,0,0.666666667,,
53,Arizona,2020/3/20,78,0,0,33,0,0,0.733333333,,
54,Arizona,2020/3/21,118,1,0,40,1,0,0.512820513,inf,
55,Arizona,2020/3/22,147,2,0,29,1,0,0.245762712,1,
56,Arizona,2020/3/23,215,2,0,68,0,0,0.462585034,0,
57,Arizona,2020/3/24,323,5,0,108,3,0,0.502325581,1.5,
58,Arizona,2020/3/25,400,6,0,77,1,0,0.238390093,0.2,
59,Arizona,2020/3/26,500,8,0,100,2,0,0.25,0.333333333,
