,state_name,SD,LD,NESC,PC,GS,CPV,start_date,cases_y,infection_rate,deaths_y,death_rate,aging,pop_density_sqkm,education_index,airport_density_sqkm,avg_principle_cost,surgical_quality
0,California,0,0,0,0,0,0,1/26/20,1.025641026,0.126244374,0.0,0.0,0.14300000000000002,95.0,13.44,0.0011604676779088938,1097181,31.2401
1,California,1,0,0,0,0,0,3/5/20,17.16666667,0.244940045,0.333333333,0.003505318,0.14300000000000002,95.0,13.44,0.0011604676779088938,1097181,31.2401
2,California,1,0,0,0,1,0,3/11/20,38.0,0.26388888899999996,0.0,0.0,0.14300000000000002,95.0,13.44,0.0011604676779088938,1097181,31.2401
3,California,1,0,0,0,3,0,3/12/20,46.0,0.252747253,1.0,0.005494505,0.14300000000000002,95.0,13.44,0.0011604676779088938,1097181,31.2401
4,California,1,0,0,1,4,0,3/13/20,63.0,0.247434777,0.5,0.001845018,0.14300000000000002,95.0,13.44,0.0011604676779088938,1097181,31.2401
5,California,1,0,0,1,5,0,3/15/20,93.0,0.26271186399999996,2.0,0.005649718000000001,0.14300000000000002,95.0,13.44,0.0011604676779088938,1097181,31.2401
6,California,1,0,1,1,5,2,3/16/20,113.0,0.207301337,1.0,0.001845256,0.14300000000000002,95.0,13.44,0.0011604676779088938,1097181,31.2401
7,California,1,0,1,1,7,2,3/19/20,322.875,0.20045662,7.375,0.004386134,0.14300000000000002,95.0,13.44,0.0011604676779088938,1097181,31.2401
8,District of Columbia,0,0,0,0,0,0,3/7/20,1.5,1.5,0.0,0.0,0.122,4088.4,14.93,0.01694915254237288,16630,0.578
9,District of Columbia,0,0,0,1,0,0,3/9/20,3.0,0.75,0.0,0.0,0.122,4088.4,14.93,0.01694915254237288,16630,0.578
10,District of Columbia,0,0,0,1,3,0,3/11/20,2.4,0.191323529,0.0,0.0,0.122,4088.4,14.93,0.01694915254237288,16630,0.578
11,District of Columbia,0,0,0,1,5,0,3/16/20,9.0,0.409090909,0.0,0.0,0.122,4088.4,14.93,0.01694915254237288,16630,0.578
12,District of Columbia,0,0,1,1,5,0,3/17/20,27.3,0.27113910399999996,0.4,0.0034119759999999997,0.122,4088.4,14.93,0.01694915254237288,16630,0.578
13,Florida,0,0,0,0,0,0,3/11/20,3.5,2.0,0.0,0.0,0.205,140.8,13.42,0.0028301000516698766,854244,20.2232
14,Florida,0,0,0,1,0,0,3/13/20,5.0,0.46474359,0.0,0.0,0.205,140.8,13.42,0.0028301000516698766,854244,20.2232
15,Florida,1,0,0,1,0,2,3/16/20,27.0,0.830131446,0.0,0.0,0.205,140.8,13.42,0.0028301000516698766,854244,20.2232
16,Florida,1,0,0,1,7,2,3/18/20,24.0,0.31168831199999997,0.0,0.0,0.205,140.8,13.42,0.0028301000516698766,854244,20.2232
17,Florida,1,0,1,1,7,2,3/19/20,96.0,0.30979427,0.25,0.00038284800000000003,0.205,140.8,13.42,0.0028301000516698766,854244,20.2232
18,Georgia,0,0,0,0,0,0,3/2/20,0.363636364,0.131818182,0.0,0.0,0.138,67.1,13.41,0.002131115587031382,1852784,7.6079
19,Georgia,1,0,0,1,0,0,3/13/20,7.0,0.685042735,0.0,0.0,0.138,67.1,13.41,0.002131115587031382,1852784,7.6079
20,Georgia,1,0,0,1,5,2,3/16/20,29.09090909,0.271185891,1.0909090909999999,0.008413966,0.138,67.1,13.41,0.002131115587031382,1852784,7.6079
21,Illinois,0,0,0,0,0,0,1/24/20,1.653846154,0.105553555,0.0,0.0,0.156,89.6,13.72,0.0029734324477482584,1389450,6.6204
22,Illinois,0,0,0,1,0,2,3/16/20,77.5,0.668883415,0.5,0.005747126,0.156,89.6,13.72,0.0029734324477482584,1389450,6.6204
23,Illinois,1,0,0,1,7,2,3/18/20,145.66666669999998,0.41343222799999996,1.0,0.002918107,0.156,89.6,13.72,0.0029734324477482584,1389450,6.6204
24,Illinois,1,0,1,1,7,2,3/21/20,331.5,0.25925509,4.0,0.0028871129999999997,0.156,89.6,13.72,0.0029734324477482584,1389450,6.6204
25,Kansas,0,0,0,0,0,0,3/7/20,0.7777777779999999,0.42037037,0.0,0.0,0.159,13.7,13.79,0.0015814171750351948,774205,3.0284
26,Kansas,0,0,0,1,5,2,3/16/20,3.5,0.21675865800000002,0.125,0.005208333,0.159,13.7,13.79,0.0015814171750351948,774205,3.0284
27,Kansas,1,0,0,1,5,2,3/24/20,10.0,0.226343514,0.0,0.0,0.159,13.7,13.79,0.0015814171750351948,774205,3.0284
28,Massachusetts,0,0,0,0,0,0,2/1/20,2.102564103,0.167972199,0.0,0.0,0.165,331.3,14.18,0.002597307579748317,232123,2.1411
29,Massachusetts,0,0,0,0,0,2,3/11/20,12.0,0.144578313,0.0,0.0,0.165,331.3,14.18,0.002597307579748317,232123,2.1411
30,Massachusetts,0,0,0,0,6,2,3/12/20,,,,,0.165,331.3,14.18,0.002597307579748317,232123,2.1411
31,Massachusetts,1,0,0,0,0,0,3/3/20,11.25,0.507163713,0.0,0.0,0.165,331.3,14.18,0.002597307579748317,232123,2.1411
32,Massachusetts,1,0,1,1,6,0,3/15/20,18.5,0.12796391199999999,0.0,0.0,0.165,331.3,14.18,0.002597307579748317,232123,2.1411
33,Massachusetts,1,0,1,1,6,2,3/17/20,153.5,0.262221676,1.5,0.002282878,0.165,331.3,14.18,0.002597307579748317,232123,2.1411
34,Michigan,0,0,0,0,0,0,3/10/20,1.6666666669999999,1.6666666669999999,0.0,0.0,0.172,67.6,13.59,0.001377316986510278,1269577,4.9486
35,Michigan,0,0,0,1,0,2,3/13/20,2.333333333,0.319444444,0.0,0.0,0.172,67.6,13.59,0.001377316986510278,1269577,4.9486
36,Michigan,0,0,1,1,0,2,3/16/20,4.0,0.307692308,0.0,0.0,0.172,67.6,13.59,0.001377316986510278,1269577,4.9486
37,Michigan,1,0,1,1,0,2,3/17/20,179.3,0.7856634990000001,3.7,0.018894081,0.172,67.6,13.59,0.001377316986510278,1269577,4.9486
38,Nevada,0,0,0,0,0,0,3/5/20,1.5,0.41,0.0,0.0,0.157,9.8,13.2,0.0003491863956980236,161156,2.2824
39,Nevada,0,0,0,0,0,2,3/15/20,19.0,1.1875,1.0,0.0625,0.157,9.8,13.2,0.0003491863956980236,161156,2.2824
40,Nevada,0,0,0,1,3,2,3/16/20,18.2,0.323604723,0.2,0.002702703,0.157,9.8,13.2,0.0003491863956980236,161156,2.2824
41,Nevada,0,0,1,1,3,2,3/21/20,52.83333333,0.253126016,1.333333333,0.007530384,0.157,9.8,13.2,0.0003491863956980236,161156,2.2824
42,New Jersey,0,0,0,0,0,0,3/4/20,1.166666667,0.444444444,0.166666667,0.027777778,0.161,467.2,13.87,0.004293745296799611,360964,11.1371
43,New Jersey,1,0,0,0,0,0,3/10/20,4.0,0.5,0.0,0.0,0.161,467.2,13.87,0.004293745296799611,360964,11.1371
44,New Jersey,1,0,0,1,0,0,3/11/20,4.0,0.297619048,0.0,0.0,0.161,467.2,13.87,0.004293745296799611,360964,11.1371
45,New Jersey,1,0,1,1,3,2,3/13/20,20.0,0.623809524,0.333333333,0.007936508,0.161,467.2,13.87,0.004293745296799611,360964,11.1371
46,New Jersey,1,0,1,1,5,2,3/16/20,183.5454545,0.368536068,2.727272727,0.005641303,0.161,467.2,13.87,0.004293745296799611,360964,11.1371
47,New York,0,0,0,0,0,0,3/1/20,26.36363636,0.896256513,0.0,0.0,0.16399999999999998,161.0,13.69,0.002547824794581626,933963,7.3405
48,New York,0,0,0,0,2,0,3/12/20,129.25,0.294295865,2.0,0.003988986,0.16399999999999998,161.0,13.69,0.002547824794581626,933963,7.3405
49,New York,0,0,0,1,5,2,3/16/20,1386.5,0.680003542,10.5,0.005893557,0.16399999999999998,161.0,13.69,0.002547824794581626,933963,7.3405
50,New York,1,0,1,1,5,2,3/20/20,4620.857143,0.299844836,63.57142857,0.0034404870000000003,0.16399999999999998,161.0,13.69,0.002547824794581626,933963,7.3405
51,Texas,0,0,0,0,0,0,3/10/20,3.0,1.083333333,0.0,0.0,0.125,39.1,13.21,0.002110220193139772,2677282,17.7086
52,Texas,0,0,0,0,2,0,3/12/20,1.0,0.125,0.0,0.0,0.125,39.1,13.21,0.002110220193139772,2677282,17.7086
53,Texas,0,0,0,0,2,2,3/13/20,1.6666666669999999,0.164983165,0.0,0.0,0.125,39.1,13.21,0.002110220193139772,2677282,17.7086
54,Texas,0,0,0,0,7,2,3/16/20,14.0,0.589392279,0.333333333,0.009803922,0.125,39.1,13.21,0.002110220193139772,2677282,17.7086
55,Texas,1,0,1,1,7,2,3/19/20,38.875,0.28328063800000003,0.75,0.00515357,0.125,39.1,13.21,0.002110220193139772,2677282,17.7086
56,Washington,0,0,0,0,0,0,1/21/20,0.41463414600000004,0.111006879,0.146341463,0.02188868,0.154,40.5,13.94,0.0019224416633723416,591656,5.6037
57,Washington,0,0,0,1,0,0,3/2/20,17.0,0.5671484489999999,1.6666666669999999,0.086419753,0.154,40.5,13.94,0.0019224416633723416,591656,5.6037
58,Washington,1,0,0,1,0,0,3/5/20,39.16666667,0.28701383,2.833333333,0.023776327000000003,0.154,40.5,13.94,0.0019224416633723416,591656,5.6037
59,Washington,1,0,0,1,3,0,3/11/20,76.8,0.17856805399999998,3.8,0.008670776,0.154,40.5,13.94,0.0019224416633723416,591656,5.6037
60,Washington,1,0,1,1,5,2,3/16/20,186.8,0.13466062,9.36363636,0.006928467,0.154,40.5,13.94,0.0019224416633723416,591656,5.6037
